Wygrany,Przegrany,Trafienia Wygranego,Trafienia Przegranego,Duble,Numer Ligi,Maks punktów,Trafienia W. Znorm.,Trafienia P. Znorm,Duble Znorm.,Elo_w_after,Elo_l_after,Elo_w_before,Elo_l_before
Franek,Kumiś,3.0,0.0,1.0,4,3.0,1,0,"0,3333333333",1267.1899999999996,1205.5300000000004,1262.9499999999996,1209.7700000000004
Koral,Bieda,3.0,1.0,0.0,4,3.0,1,"0,3333333333",0,1232.8099999999995,1172.8999999999999,1228.5399999999995,1177.1699999999998
Kumiś,Kuba,3.0,1.0,1.0,4,3.0,1,"0,3333333333","0,3333333333",1210.3200000000004,1186.45,1205.5300000000004,1191.24
Franek,Bieda,3.0,0.0,2.0,4,3.0,1,0,"0,6666666667",1270.8699999999997,1169.2199999999998,1267.1899999999996,1172.8999999999999
Koral,Kumiś,3.0,1.0,2.0,4,3.0,1,"0,3333333333","0,6666666667",1237.4899999999996,1205.6400000000003,1232.8099999999995,1210.3200000000004
Bieda,Kuba,3.0,2.0,1.0,4,3.0,1,"0,6666666667","0,3333333333",1174.4699999999998,1181.2,1169.2199999999998,1186.45
Franek,Koral,3.0,0.0,2.0,4,3.0,1,0,"0,6666666667",1275.3899999999996,1232.9699999999996,1270.8699999999997,1237.4899999999996
Jurek,Pioter,3.0,1.0,4.0,5,3.0,1,"0,3333333333","1,333333333",1200.13,1153.81,1195.67,1158.27
Koral,Kuba,3.0,0.0,1.0,5,3.0,1,0,"0,3333333333",1237.2299999999996,1176.94,1232.9699999999996,1181.2
Kuba,Jurek,3.0,2.0,0.0,5,3.0,1,"0,6666666667",0,1182.27,1194.8000000000002,1176.94,1200.13
Koral,Pioter,3.0,1.0,1.0,5,3.0,1,"0,3333333333","0,3333333333",1241.0499999999995,1149.99,1237.2299999999996,1153.81
Pioter,Kuba,3.0,2.0,6.0,5,3.0,1,"0,6666666667",2,1155.45,1176.81,1149.99,1182.27
Jurek,Koral,3.0,0.0,2.0,5,3.0,1,0,"0,6666666667",1200.4600000000003,1235.3899999999994,1194.8000000000002,1241.0499999999995
